S.No,me,title,male,culture,dateOfBirth,mother,father,heir,house,spouse,book1,book2,book3,book4,book5,isAliveMother,isAliveFather,isAliveHeir,isAliveSpouse,isMarried,isNoble,age,numDeadRelations,boolDeadRelations,isPopular,popularity,isAlive
1,Willem Wylde,Ser,1,,,,,,House Wylde,,0,0,0,0,0,,,,,0,1,,0,0,0,0.02006689,1
2,Lucas Corbray,Ser,0,,,,,,House Corbray,,0,0,0,1,1,,,,,0,1,,0,0,0,0.013377926,1
3,Devan Seaworth,,1,,287,,,,House Seaworth,,0,1,1,1,1,,,,,0,0,18,0,0,0,0.093645485,1
4,Quence,,0,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.02006689,1
5,Rupert Brax,Ser,1,,,,,,House Brax,,0,1,1,0,0,,,,,0,1,,0,0,0,0.040133779,0
6,Colin Florent,Ser,0,,,,,,House Florent,,0,1,1,1,0,,,,,0,1,,0,0,0,0.08361204,1
7,Eglantine,Septa,0,,,,,,Faith of the Seven,,0,0,0,1,0,,,,,0,0,,0,0,0,0.006688963,1
8,Jaremy Rykker,First Ranger,1,,,,,,Night's Watch,,1,1,1,0,1,,,,,0,1,,0,0,0,0.060200669,0
9,Bradamar Frey,,1,,289,,,,House Frey,,0,1,1,1,0,,,,,0,0,16,0,0,0,0.140468227,1
10,Tom of Sevenstreams,,1,,240,,,,Brotherhood without banners,,0,0,1,1,0,,,,,0,0,65,0,0,0,0.153846154,1
11,Vylarr,Captain of the guard,1,,,,,,House Lannister,,0,1,1,1,1,,,,,0,1,,0,0,0,0.040133779,1
12,Zhoe Blanetree,,0,,,,,,House Blanetree,Tytos Frey,0,1,1,1,0,,,,0,1,0,,0,0,0,0.050167224,1
13,Vaellyn,Archmaester,1,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0,0,0.013377926,1
14,Garlan Tyrell,Ser,1,,277,,,,House Tyrell of Brightwater Keep,Leonette Fossoway,1,1,1,1,1,,,,1,1,1,28,0,0,0,0.327759197,1
15,Murenmure,Maester,1,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0,0,0.010033445,1
16,Emmon Cuy,Ser,1,,,,,,House Cuy,,0,1,0,0,0,,,,,0,1,,0,0,0,0.036789298,0
17,Aegon II Targaryen,,1,,,Alicent Hightower,Viserys I Targaryen,Jaehaerys Targaryen,,,0,0,0,0,0,0,0,1,,0,0,,7,1,1,0.759197324,0
18,Corliss Penny,Ser,0,,,,,,House Penny,,0,0,0,1,1,,,,,0,1,,0,0,0,0.023411371,1
19,Shireen Baratheon,Princess,0,,289,,,,House Baratheon of Dragonstone,,1,1,1,1,1,,,,,0,1,16,4,1,0,0.230769231,1
20,Unella,Septa,0,,,,,,Faith of the Seven,,0,0,0,1,1,,,,,0,0,,0,0,0,0.02006689,1
21,Larra Blackmont,Blackmont,0,Dornish,,,,,House Blackmont,,0,0,1,1,1,,,,,0,1,,0,0,0,0.026755853,1
22,Tytos Brax,Ser,1,,,,,,House Brax,,1,1,1,1,1,,,,,0,1,,0,0,0,0.043478261,1
23,Denyo Terys,,1,Braavosi,287,,,,,,0,0,0,1,0,,,,,0,0,18,0,0,0,0.016722408,1
24,Todric,,1,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.016722408,0
25,Edric Storm,,1,,287,,,,House Baratheon,,1,1,1,1,1,,,,,0,0,18,0,0,0,0.284280936,1
26,Vayon Poole,Winterfell,1,,,,,,House Poole,,1,1,0,0,0,,,,,0,1,,0,0,0,0.053511706,0
27,Jared Frey,Ser,1,,248,,,,House Frey,Alys Frey,1,1,1,1,1,,,,1,1,1,52,0,0,0,0.147157191,0
28,Owen,,1,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0,0,0.036789298,1
29,Renly Baratheon,Lord Paramount of the Stormlands,1,Stormlands,277,,,,House Baratheon,Margaery Tyrell,1,1,1,1,1,,,,1,1,1,22,2,1,1,1,0
30,Rat Cook,,1,,,,,,Night's Watch,,0,0,1,0,1,,,,,0,0,,0,0,0,0.056856187,1
31,Heward,,0,northmen,,,,,House Stark,,1,0,0,0,0,,,,,0,0,,0,0,0,0.02006689,0
32,Lister,,1,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0,0,0.003344482,1
33,Gariss,,1,,,,,,House Stark,,0,1,0,0,0,,,,,0,0,,0,0,0,0,1
34,Blue Bard,,1,,,,,,House Tyrell,,0,0,0,1,1,,,,,0,0,,0,0,0,0.053511706,1
35,Small Paul,,1,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0,0,0.026755853,0
36,Steffon Stackspear,Ser,0,,,,,,House Stackspear,,0,0,1,1,0,,,,,0,1,,0,0,0,0.02006689,1
37,Emphyria Vance,,0,,,,,,House Vance of Wayfarer's Rest,,0,0,0,1,0,,,,,0,0,,0,0,0,0.016722408,1
38,Sylas Flatnose,King of the Iron Islands,1,Ironborn,,,,,,,0,0,0,1,0,,,,,0,1,,0,0,0,0.010033445,1
39,Osha,,1,Free folk,,,,,House Stark,,1,1,1,1,1,,,,,0,0,,0,0,0,0.25083612,1
40,Jeyne Heddle,,0,,281,,,,Brotherhood Without Banners,,0,0,0,1,0,,,,,0,0,24,0,0,0,0.033444816,1
41,Bump,,1,Free folk,,,,,,,0,0,0,0,1,,,,,0,0,,0,0,0,0.023411371,1
42,Arwood Frey,Ser,1,,263,,,,House Frey,Ryella Royce,0,1,1,1,0,,,,1,1,1,42,0,0,0,0.163879599,1
43,Gyles Grafton,,1,,,,,,House Grafton,,0,0,0,1,0,,,,,0,0,,0,0,0,0.016722408,1
