Year,Season,Epsisode,Episode Name,Number of Major Deaths,Critic Ratings,Viewership  in million
2011,1,1,Winter Is Coming,4,9,2.22
2011,1,2,The Kingsroad,3,8.8,2.2
2011,1,3,Lord Snow,0,8.7,2.44
2011,1,4,"Cripples, Bastards, and Broken Things",1,8.8,2.45
2011,1,5,The Wolf and the Lion,5,9.1,2.58
2011,1,6,A Golden Crown,4,9.2,2.44
2011,1,7,You Win or You Die,2,9.2,2.4
2011,1,8,The Pointy End,7,9,2.72
2011,1,9,Baelor,2,9.6,2.66
2011,1,10,Fire and Blood,3,9.5,3.04
2012,2,1,The North Remembers,2,8.8,3.86
2012,2,2,The Night Lands,1,8.5,3.76
2012,2,3,What Is Dead May Never Die,2,8.9,3.77
2012,2,4,Garden of Bones,4,8.8,3.65
2012,2,5,The Ghost of Harrenhal,4,8.8,3.9
2012,2,6,The Old Gods and the New,5,9.1,3.88
2012,2,7,A Man Without Honor,5,8.9,3.69
2012,2,8,The Prince of Winterfell,3,8.8,3.86
2012,2,9,Blackwater,2,9.7,3.38
2012,2,10,Valar Morghulis,6,9.4,4.2
2013,3,1,Valar Dohaeris,0,8.8,4.37
2013,3,2,"Dark Wings, Dark Words",1,8.6,4.27
2013,3,3,Walk of Punishment,1,8.9,4.72
2013,3,4,And Now His Watch Is Ended,5,9.5,4.87
2013,3,5,Kissed by Fire,4,9,5.35
2013,3,6,The Climb,1,8.8,5.5
2013,3,7,The Bear and the Maiden Fair,0,8.7,4.84
2013,3,8,Second Sons,3,9,5.13
2013,3,9,The Rains of Castamere,8,9.9,5.22
2013,3,10,Mhysa,1,9.1,5.39
2014,4,1,Two Swords,2,9.1,6.64
2014,4,2,The Lion and the Rose,3,9.7,6.31
2014,4,3,Breaker of Chains,4,8.9,6.59
2014,4,4,Oathkeeper,1,8.8,6.95
2014,4,5,First of His Name,3,8.8,7.16
2014,4,6,The Laws of Gods and Men,0,9.7,6.4
2014,4,7,Mockingbird,4,9.2,7.2
2014,4,8,The Mountain and the Viper,6,9.7,7.17
2014,4,9,The Watchers on the Wall,10,9.6,6.95
2014,4,10,The Children,4,9.7,7.09
2015,5,1,The Wars to Come,2,8.5,8
2015,5,2,The House of Black and White,3,8.6,6.81
2015,5,3,High Sparrow,5,8.6,6.71
2015,5,4,Sons of the Harpy,3,8.8,6.82
2015,5,5,Kill the Boy,1,8.7,6.56
2015,5,6,"Unbowed, Unbent, Unbroken",1,8,6.24
2015,5,7,The Gift,2,9,5.4
2015,5,8,Hardhome,4,9.9,7.01
2015,5,9,The Dance of Dragons,2,9.5,7.14
2015,5,10,Mother's Mercy,7,8.9,8.11
2016,6,1,The Red Woman,4,8.5,7.94
2016,6,2,Home,4,9.5,7.29
2016,6,3,Oathbreaker,5,8.8,7.28
2016,6,4,Book of the Stranger,8,9.2,7.82
2016,6,5,The Door,5,9.7,7.89
2016,6,6,Blood of My Blood,0,8.4,6.71
2016,6,7,The Broken Man,1,8.6,7.8
2016,6,8,No One,4,8.3,7.6
2016,6,9,Battle of the Bastards,4,9.9,7.66
2016,6,10,The Winds of Winter,11,9.9,8.89
